strongs_id,definition,short_def,etymology
H1,"1) father of an individual
2) of God as father of his people
3) head or founder of a household, group, family, or clan
4) ancestor
4a) grandfather, forefathers  of person
4b) of people
5) originator or patron of a class, profession, or art
6) of producer, generator (fig.)
7) of benevolence and protection (fig.)
8) term of respect and honour
9) ruler or chief (spec.)","father, in a literal and immediate, or figurative and remote application",a primitive word;
H2,1) father,{father},(Aramaic) corresponding to
H3,"1) freshness, fresh green, green shoots, or greenery",a green plant,from the same as ;
H4,"1) fruit, fresh, young, greening",{a green plant},(Aramaic) corresponding to
H5,"Abagtha = ""God-given""
1) one of the seven eunuchs in the Persian court of Ahasuerus","Abagtha, a eunuch of Xerxes",of foreign origin;
H6,"1) perish, vanish, go astray, be destroyed
1a) (Qal)
1a1) perish, die, be exterminated
1a2) perish, vanish (fig.)
1a3) be lost, strayed
1b) (Piel)
1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate
1b2) to blot out, do away with, cause to vanish, (fig.)
1b3) cause to stray, lose
1c) (Hiphil)
1c1) to destroy, put to death
1c1a) of divine judgment
1c2) object name of kings (fig.)","properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)",a primitive root;
H7,"1) to perish, vanish
1a) (P'al) shall perish
1b) (Aphel) destroy
1c) (Hophal) be destroyed","{properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)}",(Aramaic) corresponding to
H8,1) destruction,(concrete) wretched or (abstract) destruction,active of participle of ;
H9,"1) a lost thing, something lost","concrete, something lost; abstract, destruction, i.e. Hades",from ; Compare .
H10,"1) a lost thing, something lost, a perishing",a perishing,"the same as , miswritten for ;"
H11,"1) place of destruction, destruction, ruin, Abaddon","abstract, a perishing; concrete, Hades",intensive from ;
H12,1) destruction,a perishing,from ;
H13,1) destruction,a perishing,from ;
H14,"1) to be willing, consent
1a) (Qal)
1a1) to be willing
1a2) to consent, yield to, accept
1a3) to desire","to breathe after, i.e. (figuratively) to be acquiescent",a primitive root;
H15,"1) entreat, longing, desire",longing,from ;
H16,"1) reed, papyrus
++++
Probably ships made of reeds or papyrus were the clipper sailing ships of those days because of their speed.",the papyrus,from (in the sense of bending toward);
H17,"1) Oh!, Woe!, (exclamation of pain  indicates desire or uneasiness)",want,from (in the sense of desiring);
H18,"1) crib, manger, feeding trough",a manger or stall,from ;
H19,"1) slaughter, flesh, meat, slaughtered meat",brandishing of a sword,from an unused root (apparently meaning to turn);
H20,"1) watermelon, Egyptian fruit",a melon (only plural),of uncertain derivation;
