strongs_id,definition,short_def,etymology
H601,"1) an unclean bird
1a) perhaps an heron","an unclean bird, perhaps the parrot (from its irascibility)",from ;
H602,"1) to cry, groan
1a) (Qal) to cry, lament
1b) (Niphal) to make lamentation",to shriek,a primitive root;
H603,"1) crying, groaning, lamentation",shrieking,from ;
H604,"1) an unclean animal, ferret, shrewmouse, gecko
1a) perhaps an extinct animal, exact meaning unknown","some kind of lizard, probably the gecko (from its wail)",the same as ;
H605,"1) to be weak, sick, frail
1a) (Qal)
1a1) to be incurable
1a2) to be sick
1a3) desperate, incurable, desperately wicked, woeful, very sick (pass participle) (metaph.)
1b) (Niphal) to be sick","to be frail, feeble, or (figuratively) melancholy",a primitive root;
H606,"1) man, human being
2) mankind (collective)",a man,"(Aramaic) or ; (Aramaic), corresponding to ;"
H607,"1) you, thou (second pers. sing.)",thou,(Aramaic) corresponding to ;
H608,"1) you, thou (second pers. pl.)",ye,(Aramaic) plural of ;
H609,"Asa = ""healer: injurious (?)""
1) king of Judah, son of Abijam, father of Jehoshaphat
2) a Levite","Asa, the name of a king and of a Levite",of uncertain derivation;
H610,"1) flask, small oil jug","anointed, i.e. an oil-flask",from ;
H611,"1) evil, mischief, harm, hurt",hurt,of uncertain derivation;
H612,"1) band, bond
2) house of bonds, prison (figurative)",a bond (especially manacles of a prisoner),from ;
H613,"1) band, bond, imprisonment",{a bond (especially manacles of a prisoner)},(Aramaic) corresponding to
H614,"1) ingathering, harvest","gathered, i.e. (abstractly) a gathering in of crops",or ; from ;
H615,"1) prisoner, captive, bondman","bound, i.e. a captive",from ;
H616,"1) prisoners (collective)
2) (CLBL) prisoner, captive","{bound, i.e. a captive}",for
H617,"Assir = ""prisoner""
1) a son of Korah
2) a son of Ebiasaph
3) a son of Jeconiah","Assir, the name of two Israelites",the same as ; prisoner;
H618,"1) storehouse, barn",a storehouse (only in the plural),from an unused root meaning to heap together;
H619,"Asnah = ""I shall be hated: she has stored up""
1) a temple-slave who returned from exile","Asnah, one of the Nethinim",of uncertain derivation;
H620,"Asnappar or Osnappar = ""horned bull: thorn abolished""
1) an Assyrian king who transported other peoples into Samaria - probably the king, Ashurbanipal","Osnappar, an Assyrian king",of foreign derivation;
H621,"Asenath = ""belonging to the goddess Neith""
1) the wife of Joseph","Asenath, the wife of Joseph",of Egyptian derivation;
